Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.7916361,0.00019999995,0.28898066,4.681880631932506,4.68188067836056,169.40740740740742
2000,1.7916354,0.00019999995,0.2913397,3.766707015223801,3.76670701613822,148.53125
3000,1.7898399,0.00019999995,0.41911,4.519307081041665,4.519307105046367,168.6206896551724
4000,1.7896197,0.00019999995,0.48145756,5.947103438278039,5.947103431368433,199.75
5000,1.7860273,0.00019999995,0.5574006,5.265435728643622,5.265435725761498,178.71428571428572
6000,1.7854525,0.00019999995,0.6524034,5.178744694149053,5.178744677050249,171.11111111111111
7000,1.7831705,0.00019999995,0.7356347,5.616640269756317,5.616640203886493,188.37037037037038
8000,1.7824893,0.00019999995,0.7662778,5.379576992105554,5.379576993977935,182.4814814814815
9000,1.7817799,0.00019999995,0.9246234,6.310492172189381,6.3104922160067005,206.30434782608697
10000,1.7794018,0.00019999995,0.97471297,8.479810568847155,8.479810554007647,264.57894736842104
11000,1.7695876,0.00019999992,1.231111,8.123644695470208,8.123644679680183,244.68421052631578
12000,1.7638218,0.0001999999,1.264431,12.333459328521382,12.333459280865492,358.27272727272725
13000,1.7658584,0.0001999999,1.3640232,16.304839732391493,16.304839784785795,445.42857142857144
14000,1.7692609,0.0001999999,1.5302259,14.421021445231004,14.421021481101421,402.8181818181818
15000,1.7617159,0.0001999999,1.6124322,12.089737616479397,12.08973754310235,360.5833333333333
16000,1.7578104,0.0001999999,1.7526683,12.497476927936077,12.49747694610602,358.75
17000,1.7603296,0.0001999999,1.7799524,12.012613053832736,12.012613048438132,358.7142857142857
18000,1.7567657,0.0001999999,1.878186,12.237062199757649,12.237062300967908,357.7692307692308
19000,1.7514398,0.0001999999,1.8256625,12.702728322574071,12.702728210238755,360.0
20000,1.7567294,0.0001999999,1.9314785,11.657424894968669,11.65742478649751,339.2
21000,1.7512536,0.0001999999,1.9841738,8.93949036217398,8.939490461303901,261.0
22000,1.7441525,0.0001999999,2.1005816,12.115069163697106,12.115069124948993,357.07142857142856
23000,1.7450451,0.0001999999,2.1149578,12.575578740009895,12.575578850357138,367.46153846153845
24000,1.7332015,0.0001999999,2.2492309,14.31903265281157,14.319032656856258,429.72727272727275
25000,1.7371997,0.0001999999,2.2533832,14.298823860558597,14.298823727267559,429.09090909090907
26000,1.7255554,0.0001999999,2.2629836,13.423786080309323,13.423786133522201,390.7857142857143
27000,1.7254382,0.0001999999,2.2669609,13.884253841638564,13.884253786158116,414.1
28000,1.7214544,0.0001999999,2.3857555,14.780415058135986,14.7804150322955,444.25
29000,1.7192357,0.00019999988,2.4568505,16.742345255613326,16.74234539156305,513.6
30000,1.7203386,0.00019999986,2.5102105,17.24962517246604,17.24962516245921,522.0
31000,1.7042296,0.00019999986,2.472479,13.546722857424847,13.5467227561062,399.15384615384613
32000,1.6795944,0.00019999986,2.6366725,21.29340972751379,21.293409632739895,679.625
33000,1.6797504,0.00019999986,2.7674558,25.385624438524246,25.385624555179902,819.75
34000,1.6356659,0.00019999986,2.8519156,29.688037663698196,29.68803806095775,1014.0
35000,1.6367337,0.00019999986,2.7960296,53.5620947877566,53.56209510339553,2033.0
36000,1.6621089,0.00019999986,2.769819,22.226916756480932,22.226916675275447,804.25
37000,1.6675303,0.00019999986,2.7326806,34.847425957520805,34.84742619487664,1179.3333333333333
38000,1.6605546,0.00019999986,2.615534,35.76844702164332,35.76844708279926,1174.1666666666667
39000,1.6604658,0.00019999986,2.670971,30.855097436904906,30.855097211140038,1013.0
40000,1.6696284,0.00019999986,2.6913536,31.850083507597446,31.850083313389575,1044.75
41000,1.6593928,0.00019999986,2.6828861,18.935355216264725,18.935355290006214,612.25
42000,1.6810703,0.00019999986,2.715486,27.75083601474762,27.750835903504747,870.0
43000,1.6800618,0.00019999986,2.6471546,22.302196100354195,22.302196236842462,707.75
44000,1.6578599,0.00019999983,2.7312143,23.757584743201733,23.757584883175014,757.25
45000,1.6578528,0.00019999983,2.7382035,46.401281813780464,46.401281613385436,1584.3333333333333
46000,1.6669617,0.00019999983,2.737,22.529330406337976,22.529330414285766,748.875
47000,1.6739314,0.00019999983,2.7122881,24.858949993337905,24.858949915862077,774.5714285714286
48000,1.6746426,0.00019999983,2.7225997,26.84010602037112,26.84010635296168,819.6666666666666
49000,1.670314,0.00019999983,2.6674006,21.817255958914757,21.817255983195082,685.25
50000,1.6699531,0.00019999983,2.719414,30.190633445978165,30.1906334219442,896.0
51000,1.6657231,0.00019999983,2.8090584,16.209458568692206,16.209458577933496,484.3
52000,1.6646506,0.00019999983,2.713155,24.33580560684204,24.335805887758305,733.4
53000,1.6787566,0.00019999975,2.7574515,24.74750887751579,24.74750890251253,704.8
54000,1.661424,0.00019999975,2.770072,18.88716161251068,18.887161363576865,546.375
55000,1.6587087,0.00019999975,2.8204813,32.57924534082413,32.57924530215314,887.0
56000,1.6638594,0.00019999972,2.8449347,16.070299931491416,16.070299985603317,464.6666666666667
57000,1.668638,0.00019999972,2.837194,19.20559904575348,19.20559915064041,565.2
58000,1.6684997,0.00019999972,2.8360298,18.621232964098454,18.621233108934618,548.625
59000,1.6733005,0.00019999972,2.7911818,16.296092101505824,16.296092032335764,472.42857142857144
60000,1.6691307,0.00019999972,2.7885573,25.027774699032307,25.02777450429801,665.25
61000,1.6731379,0.00019999972,2.8875904,20.271777620369736,20.271777628738906,512.0909090909091
62000,1.6595678,0.00019999972,2.866583,18.89312732219696,18.8931272949917,501.0
